Employee ID,Employee Name,DOB,DOJ,AGE,Gender,Company Name,Branch,Department,Designation,Bank Name,IFSC Code,PAN No,Aadhar no,Basic pay,DA,HRA,SA,Gross Salary,Yearly Gross,Graduvity,No.of working days,No.of leaves taken,EPF,TDS,Leave Deduction,Other Deduction,Total Deduction,Net Pay
56723091,Aditya S M,2/5/1992,8/5/2012,35,M,Bliss Pvt Ltd,Hyderabad,System admin,Manager,ICICI,ICIC257812,M2A4XY12OP,9.88412E+11,90000,1500,36000,2000,129500,1554000,7470,27,2,6300,16975,9592.592593,1000,33867,95633
37120934,Vijay Srinivas,2/5/1996,8/5/2018,26,M,BLISS Pvt Ltd,Bangalore,HR,Manager,BOB,BOBM417860,ZK858AB95Q,9.15093E+11,100000,1800,7700,23,1,4000,40000,149500,1794000,8300,7000,22975,6500,40475,109025
79862437,Shantakumar S,2/5/1997,8/5/2018,25,M,BLISS Pvt Ltd,Mumbai,Finance,Head Officer,Union Bank,UBIN995436,H4D8WW18U5,7.55009E+11,115000,1600,7000,24,5,1500,46000,169600,2035200,9545,8050,29005,353,73888,95712
20197804,Kamalesh R,2/5/1998,8/5/2020,24,M,BLISS Pvt Ltd,Bangalore,Accounts,Team Leader,Canara Bank,CNRB000863,U0DD7F45T6,9.08758E+11,100000,1500,40000,5500,147000,1764000,8300,25,4,7000,22225,23520,2000,54745,92255
47209632,Joshua A,2/7/1993,8/5/2020,29,M,BLISS Pvt Ltd,Chennai,Accounts,Project Leader,ICICI,ICIC723963,HF2K643BG7,2.1532E+11,45000,3500,18000,7500,74000,888000,3735,25,2,3150,4850,5920,2000,15920,58080
67107342,Abdul Ahad,2/5/1995,8/5/2019,27,M,BLISS Pvt Ltd,Mumbai,Finance,Team member,KVB,KVBL002101,T6A9GH34M3,9.94123E+11,25000,4300,10000,9500,48800,585600,2075,24,0.5,1750,1755,1016.67,800,5321.67,43478.33
18392766,Sashank A,2/6/1994,8/5/2018,28,M,BLISS Pvt Ltd,Mumbai,HR,Manager,ICICI,ICICM996399,WD4J28SM79,9.58578E+11,55000,2800,22000,7000,86800,1041600,4565,24,1,3850,6943.33,3616.67,2500,16910,69890
92748271,Savitha B,2/7/1993,8/5/2020,29,F,BLISS Pvt Ltd,Delhi,System admin,Project Leader,Union Bank,UBIN278270,Q6S8F9A64S,6.07033E+11,42000,3000,16800,6500,68300,819600,3486,22,1,2940,3995,3104.55,1500,11539.55,56760.45
16289474,Srinidhi K,2/6/1994,8/5/2018,28,F,BLISS Pvt Ltd,Bangalore,Accounts,Team member,BOB,BOBB697624,Y6A9K2DH66,3.96206E+11,33000,3800,13200,9000,59000,708000,2739,23,1,2310,2775,2565.22,1000,8650.22,50349.78
34836982,Rajesh T,2/7/1993,8/5/2020,29,M,BLISS Pvt Ltd,Hyderabad,System admin,Head Officer,KVB,KVBL006983,E8K2HF8Z0D,7.45741E+11,91000,1500,36400,5000,133900,1606800,7553,24,3,6370,18295,16737.5,1000,42402.5,91497.5
32825729,Tharun B S,2/5/1995,8/5/2019,27,M,BLISS Pvt Ltd,Delhi,HR,Manager,Canara Bank,CNRB222825,BK37A8FK3T,8.25067E+11,54000,2800,21600,7000,85400,1024800,4482,22,0.5,3780,6663.33,1940.91,2400,14784.24,70615.76
84290251,Aishwaryaa S,2/6/1994,8/5/2018,28,F,BLISS Pvt Ltd,Banglore,Accounts,Project Designer,BOB,BOBM420254,P8S2K6AN7I,4.52915E+11,40000,3100,8000,25,3,1450,16000,67100,805200,3320,2800,3815,8052,16117,50983
61924606,Preethika A,2/7/1993,8/5/2020,29,F,BLISS Pvt Ltd,Mumbai,System admin,Team member,Union Bank,UBIN521045,ZU4O9034H6,5.88424E+11,24000,4400,9600,2000,40000,480000,1992,27,2,1680,2000,2962.962963,3000,9642,30358
73587109,Samuel M,1/1/1982,5/8/2002,40,M,BLISS Pvt Ltd,Delhi,HR,Head Officer,ICICI,ICIC350109,7R9FB64E8U,2.05385E+11,97000,1500,38800,4750,142050,1704600,8051,22,0.5,6790,20740,3228.41,2500,33258.41,108791.59
28153827,Varun Tej H,2/5/1992,8/5/2012,30,M,BLISS Pvt Ltd,Hyderabad,System admin,Project Designer,KVB,KVBL003829,I6F9H3D690,4.35483E+11,49000,3300,19600,7700,79600,955200,4067,24,1,3430,5690,3316.67,2700,15136.67,64463.33
52946770,Maneesh V,2/5/1996,8/5/2018,26,M,BLISS Pvt Ltd,Bangalore,Finance,Team member,BOB,BOBB639764,L75TS306G8,1.81348E+11,36000,3750,14400,8000,62150,745800,2988,23,1,2520,3090,2702.17,1800,10112.17,52037.83
61120983,Fatima P,2/5/1997,8/5/2018,25,F,BLISS Pvt Ltd,Bangalore,Finance,Manager,Union Bank,UBIN228123,6VM38FP10V,9.36331E+11,70000,1400,28000,7000,106400,1276800,5810,23,2,4900,10975,9252.17,2600,27727.17,78672.83
63002339,Divya S,2/5/1998,8/5/2020,24,F,BLISS Pvt Ltd,Chennai,Accounts,Head Officer,Canara Bank,CNRB303238,D5J8OL63B3,6.82457E+11,88000,1350,35200,6000,130550,1566600,7304,25,3,6160,17290,15666,2300,41416,89134
12345678,Kanish,12/2/1989,23/3/2015,43,M,BLISS PvT Ltd,Chennai,Consultancy,Senior Consultant,Bank of Baroda,BOBM123456,ALFPK12096,1.21234E+11,70000,2000,28000,3000,103000,1236000,5810,28,2,4900,10183.33333,7357.142857,0,22440,80560
